,lon,lat,year,month,tas,tasmax,pr
517,15.0,50.0,2001,7,18.8,25.6,127.4
518,15.0,51.0,2001,7,18.6,25.1,146.475
519,15.0,52.0,2001,7,19.95,25.800001,96.75
520,16.0,33.0,2001,7,,,
521,16.0,34.0,2001,7,,,
522,16.0,35.0,2001,7,,,
523,16.0,36.0,2001,7,,,
524,16.0,37.0,2001,7,,,
525,16.0,38.0,2001,7,25.95,30.300001,4.9
526,16.0,39.0,2001,7,24.875,29.800001,7.9500003
527,16.0,40.0,2001,7,23.375,29.0,14.475
528,16.0,41.0,2001,7,23.975,31.5,17.75
529,16.0,42.0,2001,7,25.0,30.2,17.85
530,16.0,43.0,2001,7,25.300001,30.4,25.1
531,16.0,44.0,2001,7,21.225,30.300001,27.7
532,16.0,45.0,2001,7,20.05,27.4,48.15
533,16.0,46.0,2001,7,21.5,27.7,58.925003
